"","NOM","PROV","CODINE","COMARCA","CODCOMA","POBMAY65","PLAZSHOT","PLAZSAPA","PLAZSCAM","PLAZSRUR","PLAZALB","PLAZREST","AGVIAJ","EMPTACT","TOTREGL","PVPUT11","PRYVPUT","PARO2015","VPAR0615","POB2015","VPOB0615","POBESP","POBEXT","POBEUR","INMRESI","PINMRES","INMLAB","PINMLAB","POREXTRAN","PREHUX15","VPRES615","GTOSHAB15","TFTRES15","VTFTRES","TFTREGL15","VTFTREG","TIPO"
"442","Meliana","Valencia",46166,"L'Horta Nord",13,"0.18",0,0,0,0,0,659,4,0,0,"2318.75","2318.75","0.15","1.99",10588,"0.1",9879,709,256,256,"0.02",453,"0.04","0.07","2727.26","0.09","620.96","0.06","11.87","0","","LITORAL"
"444","Miramar","Valencia",46168,"La Safor",25,"0.17",204,1017,478,0,0,1440,0,0,1699,"11602.5","13301.5","0.12","1.73",2620,"0.38",2371,249,190,190,"0.07",59,"0.02","0.1","6228.88","0.07","1116.41","4.05","-0.33","0.65","-0.13","LITORAL"
"457","Oliva","Valencia",46181,"La Safor",25,"0.19",555,4026,4446,0,0,4928,6,1,9027,"24421.25","33448.25","0.15","2.14",26190,"-0.02",20818,5372,3903,3903,"0.15",1469,"0.06","0.21","995.14","0.03","830.89","0.75","0.06","0.34","0.2","LITORAL"
"471","Piles","Valencia",46195,"La Safor",25,"0.16",0,103,0,0,0,477,1,0,103,"6571.25","6674.25","0.13","1.59",2740,"0.06",2331,409,265,265,"0.1",144,"0.05","0.15","2389.06","0.06","988.32","2.08","-0.09","0.04","0.76","LITORAL"
"475","Pobla de Farnals","Valencia",46199,"L'Horta Nord",13,"0.16",24,294,0,0,0,3001,0,0,318,"15373.75","15691.75","0.12","1.32",7776,"0.2",6970,806,499,499,"0.06",307,"0.04","0.1","6492.33","1.36","704.6","1.81","9.41","0.04","-0.04","LITORAL"
"480","Puig de Santa Maria","Valencia",46204,"L'Horta Nord",13,"0.18",323,138,0,0,0,3615,4,0,461,"10421.25","10882.25","0.12","1.73",8844,"0.1",8319,525,314,314,"0.04",211,"0.02","0.06","735.31","0.11","964.27","1.1","0.03","0.05","0.1","LITORAL"
"481","Puçol","Valencia",46205,"L'Horta Nord",13,"0.15",88,101,1810,0,0,2181,2,0,1999,"3736.25","5735.25","0.11","1.66",19357,"0.12",17593,1764,1005,1005,"0.05",759,"0.04","0.09","1389.35","-0.03","726.26","0.05","-0.8","0.1","-0.19","LITORAL"
"496","Sagunto","Valencia",46220,"El Camp de Morvedre",12,"0.2",817,524,515,0,0,9468,19,0,1856,"32838.75","34694.75","0.16","1.48",64944,"0.04",57411,7533,4255,4255,"0.07",3278,"0.05","0.12","752.76","0.09","954.88","0.28","0.24","0.03","0.53","LITORAL"
"511","Sueca","Valencia",46235,"La Ribera Baixa",21,"0.19",83,350,4300,0,0,6531,7,2,4733,"44520","49253","0.14","1.51",28252,"0.02",26059,2193,1574,1574,"0.06",619,"0.02","0.08","837.74","0.07","836.99","1.43","0.13","0.17","0.27","LITORAL"
"514","Tavernes de la Valldigna","Valencia",46238,"La Safor",25,"0.19",81,1103,135,0,0,3016,4,1,1319,"24517.5","25836.5","0.15","1.48",17734,"-0.01",16130,1604,1051,1051,"0.06",553,"0.03","0.09","884.98","0.05","840.05","1.19","0.15","0.07","0.05","LITORAL"
"526","Valencia","Valencia",46250,"València",15,"0.2",17750,5541,939,0,90,124610,340,8,24320,"218233.75","242553.75","0.13","1.36",786189,"-0.02",692942,93247,35798,35798,"0.05",57449,"0.07","0.12","7641.37","0","944.65","0.15","0.32","0.03","0.57","LITORAL"
